,group,intersection_density_km,street_density_km,buildings_density,natural_terrain_density,pubs_dist_to_nearest,education_buildings_dist_to_nearest,entertainment_buildings_dist_to_nearest,shops_dist_to_nearest,office_dist_to_nearest,pubs_share,education_buildings_share,entertainment_buildings_share,shops_share,office_share,average_dist_to_any_public_transport_stop,mode_dist_to_any_public_transport_stop,cycleways_to_highways,all_railways_to_highway,avg_dist_from_building_to_center,average_dist_to_park,average_dist_to_greenland,average_street_length,circuity_avg,one_way_percentage,share_of_separated_streets,streets_in_radius_of_100_m,avg_dist_between_crossroads,circuity,avg_distance_to_5_buildings,distance_between_buildings,buildings_density_in_2km_radius,avg_building_area,network_orientation,circuity_between_crossroads,streets_per_node_avg,buildings_uniformity,share_of_buildings_near_center,traffic_lights_share,trunk_percentage,primary_percentage,secondary_percentage,tertiary_percentage
"Bamberg, Germany",1,16.963457683293257,4447.603674753073,0.08308898221858031,0.17900537412600606,146.56903492050952,360.37634495113815,479.6182139329245,80.88370224339073,156.17865440604942,0.013115468409586056,0.0031808278867102397,0.001568627450980392,0.025751633986928105,0.008278867102396514,137.3307179342093,100.0,0.373344453193945,0.38242123889691904,1866.9261542128309,584.2437963546977,225.40176868434588,156.42124239713772,1.0462651251455477,0.22676781360065024,0.06989975616364129,15.111351937144404,186.97732175145663,1.4702317343119906,24.04100234631211,14.108557135356307,0.2670580029071601,200.86423655450974,0.28177887499970233,1.0550653946188504,2.6436915887850465,0.44881102561891295,0.3313473079933896,0.0047829480088035035,0.0035220807369276616,0.06366838255215389,0.051476564616635065,0.21755621782714712
"Wurzburg, Germany",1,19.637826546569983,4714.587448551606,0.07664750382251342,0.21071878169218716,161.9326032751779,203.62636252258625,358.69205338751647,74.38697710216655,213.02984673886368,0.016766342863069106,0.007847339855498323,0.003145849898019152,0.038303315241815614,0.006741106924326753,173.63940791201063,110.0,0.21375791036986933,0.5627815104418945,3173.3288354975734,550.9213363955072,306.57668095750563,144.36871892497214,1.0762946323834244,0.25366807955656995,0.1212911640039126,12.687316596022171,175.72372638086696,1.4526799875598575,29.129354722998084,17.16603754224428,0.2541379816453442,238.89651388930957,0.15655433807281813,1.0869135609063203,2.7200606366851945,0.4826550774812358,0.21166448230668414,0.001268897333723684,0.046625366807955655,0.06618845777632866,0.11085751548744703,0.23899576133029016
"Erlangen, Germany",1,25.679175452464534,5668.685131281177,0.07388940878973027,0.15037467161762608,160.54184990717422,281.79268957242533,366.6489687424256,72.78179617172692,231.11869062706648,0.01475437701852796,0.0046234914159442465,0.0037395886452490225,0.031344552099269084,0.0065272819989801115,170.35606539922233,130.0,0.2672182867173849,0.17369419696133795,3110.7772404017574,809.5487342621143,198.53890135289342,130.27108706315144,1.0671853591008684,0.2603391847664386,0.11484677179410888,12.465337697113956,158.50883895673186,1.5626684323346007,25.94347659907763,15.179787686440491,0.2286329180098671,201.5647481641721,0.4522952484469922,1.0829024318935758,2.727689741451209,0.4632471156261722,0.19605517334869693,0.002191221218719486,0.009520975900029751,0.017851829812555786,0.1758405236536745,0.16750966974114848
"Ingolstadt, Germany",1,18.89252693427132,3777.965508348616,0.06664402083724766,0.06091455856310071,229.590245656502,619.4641345041947,696.6001608618564,111.01500274110913,398.6683833296714,0.0111558538404176,0.0021774794929157347,0.0007755406413124535,0.021357196122296796,0.0029231916480238628,174.31851264838738,120.0,0.5121027476225359,0.3757387451566521,3598.137694197843,1039.9828466877307,283.06938174336693,121.47796766860323,1.0703875470306945,0.22115384615384612,0.17672413793103448,11.060013262599465,143.76256232913966,1.3372880400151244,31.09892387169013,19.18346605923196,0.16368708920654818,270.4070876752978,0.30734588172483546,1.0815097269388934,2.8098267939201134,0.4517915015678922,0.2382270643567304,0.0026947931492411073,0.01094164456233422,0.04078249336870027,0.14290450928381962,0.20291777188328916
"Furth, Germany",1,25.20161041306861,5819.1037770285375,0.09325721966798477,0.08599149726782497,156.50736746510717,499.93845640128654,509.0288544387124,98.21290836916765,359.58759644688325,0.008549968037502664,0.0016513956957170256,0.001305135307905391,0.01856488386959301,0.0022906456424461965,169.84374036977306,110.0,0.17417093257421765,0.40636571726991794,2745.4631625209595,1247.9601539175153,307.3228693270333,136.15417733598414,1.0651536643587844,0.3147230977037371,0.16614137775776674,11.29671319225574,158.4976767348771,1.4008125218270924,21.173052510041337,12.22041865723432,0.2148097830202877,159.22327092283982,0.21159150032481813,1.073394864482235,2.7051282051282053,0.4677027999114502,0.17936229106781645,0.0017368563328672142,0.02161188653759568,0.095002251238181,0.15308419630796938,0.15128320576316975
"Bayreuth, Germany",1,22.88168146200817,4849.52135531554,0.06419769705450364,0.1976483253210587,224.6773309270515,380.0478883620556,682.7192315962284,119.11229524000824,251.83569439255191,0.013091482649842272,0.003838065194532071,0.0019453207150368036,0.02034700315457413,0.0057833859095688745,162.32863074137143,110.0,0.34008945731363016,0.18857905090220212,2196.9302322986573,637.042747592143,236.77302129392467,125.8617612679544,1.065962666475576,0.16753022452504318,0.14248704663212436,10.696459412780657,148.57815318776917,1.3577193407985275,30.857286664362523,17.682305173303448,0.25603145681685396,232.55611230065574,0.13601705130503974,1.0764027149335602,2.7024683122081385,0.4736146210505076,0.3095562781915452,0.001022500358810625,0.0,0.11744386873920552,0.096286701208981,0.15932642487046633
"Passau, Germany",1,15.201923111144968,4406.0018360464055,0.051244374495242384,0.08474692020798694,174.0361151518835,462.59754185875283,671.3944056024626,67.91766376230554,391.3059665777498,0.019312293923692887,0.002669178834981944,0.0010205683780813313,0.047417176950855705,0.003689747213063275,196.85823081443212,80.0,0.1446127016460235,0.3040530730969089,3238.429316254905,1654.0667849974054,276.49733945206987,168.43537640449406,1.098275529036049,0.12867647058823528,0.21446078431372548,9.25,194.11533518333766,1.522822900987474,39.39945022261771,23.456311578919372,0.14883105051103826,284.5814525905685,0.16305689892385294,1.1074074580723468,2.5093312597200623,0.4838510623754045,0.2280701754385965,0.0005794496586189687,0.0,0.13480392156862744,0.04595588235294118,0.13112745098039216
"Landshut, Germany",1,14.705189439165292,3276.2144995282515,0.058975172640860225,0.16834763023251162,183.910393049194,280.72582351416696,395.4791690223272,71.29914365870124,201.629332740762,0.0149753829321663,0.003760940919037199,0.0016411378555798686,0.044652625820568934,0.007658643326039388,163.88564504371112,110.0,0.28909153889697986,0.27607962558461074,2374.650172402772,845.4161466340212,235.69651813535,131.2177760951865,1.077336738452604,0.09570765661252902,0.22099767981438515,10.207656612529002,149.42394100823032,1.351269868850857,35.64676823606051,21.80772599745702,0.19703923627423175,271.4388250444726,0.3035577613783538,1.0919922142923195,2.5650378527185134,0.4836129536748937,0.2972364380757421,0.0017197506135822494,0.014501160092807426,0.0951276102088167,0.13051044083526686,0.09164733178654293
"Kempten, Germany",1,23.999672586923484,5046.576736789137,0.05364191076825638,0.1565859998543537,162.69598707587684,385.48701631517264,550.3558431734722,73.80421745314877,149.5576511856551,0.0163888302736161,0.004220299641274529,0.0007737216009003307,0.04389111626925512,0.010902440739959204,182.50436969423825,100.0,0.40924170720477465,0.2520482270148287,1997.578469610094,592.5707585508404,263.9866939848793,126.85831101021559,1.0906621675361687,0.27287319422150885,0.14820759764579988,12.36490101658641,155.63236963634031,1.3269528533704311,34.585477752326376,18.759898801569143,0.20433451211690695,241.00515317506643,0.30484300630166145,1.1024422723812295,2.77109375,0.4654041667373266,0.3257251211461479,0.0014765246867089,0.006955591225254147,0.12466559657570893,0.07597645799892991,0.11824505082932048
"Straubing, Germany",1,24.700503947231578,4724.170037986887,0.054883662719102055,0.032674163263046695,183.86315234942435,235.60739695503742,520.5530768554121,103.27982604523376,424.1418593732561,0.0145985401459854,0.003859384176524876,0.0017618927762396177,0.031797969628324534,0.003439885896467825,182.34749017024296,110.0,0.35318929565946866,0.2337404328356121,2162.0620669373498,590.21147451399,351.34612585843286,114.53350482160074,1.0653741774602428,0.08132956152758132,0.19872701555869876,10.05091937765205,137.890603282263,1.3369894454895652,34.73680109639533,22.004266069546496,0.21875466729899695,315.5223027527244,0.31084265810898865,1.0784059728432969,2.6769626769626766,0.4229748838757947,0.3640325148747172,0.0005044620140410464,0.030410183875530412,0.008486562942008486,0.12942008486562942,0.1166902404526167
"Memmingen, Germany",1,17.075962709601313,3669.346189654257,0.04846245920701337,0.2768625940815025,369.60812053322405,661.7797903684599,639.3457266145164,147.85578211973757,402.84265944696136,0.009072483351027892,0.002123347167261848,0.0018337998262715953,0.02576971334813242,0.0024128945082520998,280.0889561440073,170.0,0.34833665616963544,0.2176703140191551,2198.8206147218752,902.9651593365712,344.6666922695497,127.1161849782744,1.0632814008452214,0.14122137404580154,0.18244274809160305,10.566412213740458,146.57691961610354,1.4189495019397462,38.36849611201577,23.359028310102293,0.2464721225040321,330.2474214921368,0.3788398785097413,1.0741351696093564,2.598078462770216,0.4248767798073487,0.4636731547504336,0.0008849353433388578,0.0,0.0,0.15190839694656488,0.15038167938931302
"Ansbach, Germany",1,13.803817242739456,3283.3085404977724,0.031255119428949,0.13644179090619812,348.27601890794153,575.9233672391279,775.9163386776944,111.09575860219236,425.6468492577608,0.007879707944769753,0.002457890551579556,0.000722908985758693,0.01922937902118123,0.002674763247307164,222.85702948526009,90.0,0.1534226999159265,0.3126899595209797,2752.8482968341805,1938.9971088340849,422.9009089076117,141.1374256518676,1.0907416722302925,0.17659425367904694,0.20953048353188508,10.070077084793272,162.3277679938846,1.4271954971627958,32.263883680529815,19.15206864551584,0.2040626071217697,229.49852356555854,0.265847839986962,1.1060424980942791,2.6545623836126633,0.3461693295347876,0.4309125036095871,0.0011316148782417575,0.0,0.1289418360196216,0.1079187105816398,0.06867554309740714
