,osmid
1008,765551171
1009,765551171
1010,765551171
1011,454743458
1012,454743458
1013,157917783
1014,157917783
1015,499496699
1016,499496699
1017,499496699
1018,499496699
1019,645095963
1020,645095963
1021,645095963
1022,645095963
1023,163381074
1024,163381074
1025,75391347
1026,83178438
1027,157917783
1028,271717246
1029,237022726
1030,237022726
1031,163381074
1032,163381074
1033,82533695
1034,304948517
1035,304948517
1036,21025095
1037,21025095
1038,340728111
1039,552845297
1040,221329648
1041,162931489
1042,29299882
1043,29299882
1044,29299882
1045,547256596
1046,217155476
1047,217155487
1048,547256605
1049,29299882
1050,547256615
1051,114602369
1052,114602369
1053,22690761
1054,216946267
1055,216946256
1056,217152681
1057,304948516
1058,304948516
1059,163381074
1060,163381074
1061,19803666
1062,19803688
1063,304948516
1064,304948516
1065,298388693
1066,24432571
1067,24432571
1068,298388693
1069,102460291
1070,102460291
1071,102460291
1072,102460291
1073,29424773
1074,29424773
1075,29424773
1076,29424773
1077,29424773
1078,29424773
1079,530563583
1080,29424773
1081,29424773
1082,25805689
1083,25805689
1084,29424773
1085,29424773
1086,35165945
1087,40870360
1088,40872877
1089,31764783
1090,31764783
1091,35165945
1092,35165945
1093,35165945
1094,35165945
1095,31764773
1096,31764773
1097,31764773
1098,31764773
1099,549215954
1100,549215954
1101,180803329
1102,180803329
1103,222183646
1104,22810309
1105,22810309
1106,29385899
1107,29385899
1108,29385899
1109,29385899
1110,41151854
1111,41151854
1112,216656199
1113,552844885
1114,31764108
1115,31764108
1116,216879845
1117,552844884
1118,429654752
1119,429654752
1120,653917516
1121,653917516
1122,25757056
1123,25757056
1124,113757485
1125,113757485
1126,653917516
1127,653917516
1128,25757056
1129,25757056
1130,25757056
1131,307157806
1132,307157806
1133,653917516
1134,653917516
1135,25757056
1136,25757056
1137,25757064
1138,25757056
1139,25757056
1140,25757064
1141,25757064
1142,284860375
1143,21025095
1144,21025095
1145,284860375
1146,284860375
1147,25757056
1148,25757056
1149,25757064
1150,284860375
1151,340728425
1152,340728425
1153,530025262
1154,25757064
1155,25757064
1156,28816891
1157,28816891
